id;name;description;price;image;image_content_type
1;Supervisor convergence;customer loyalty azure;46770;../fake-data/blob/hipster.png;image/png
2;Global;SQL;55212;../fake-data/blob/hipster.png;image/png
3;haptic Bedfordshire;Tuna;35758;../fake-data/blob/hipster.png;image/png
4;Concrete Director;Buckinghamshire New York;78619;../fake-data/blob/hipster.png;image/png
5;integrated proactive;systemic e-tailers;74546;../fake-data/blob/hipster.png;image/png
6;Sausages Generic;Games Delaware Avon;5278;../fake-data/blob/hipster.png;image/png
7;withdrawal;Cote d'Ivoire Metal back up;46595;../fake-data/blob/hipster.png;image/png
8;Practical Soft Pizza Agent partnerships;Spain;27787;../fake-data/blob/hipster.png;image/png
9;frictionless;hub Agent Multi-channelled;96170;../fake-data/blob/hipster.png;image/png
10;Personal Loan Account Shirt array;deposit Lead orchestrate;90828;../fake-data/blob/hipster.png;image/png
